Code,Year,SUBJECT,MEASURE,Value,Value_kg,Value_tonnes,Entity,GDP per capita
ARG,1990,BEEF,THND_TONNE,2588.9221,2588922.1,2588.9221,Argentina,7380.115031
ARG,1990,BEEF,KG_CAP,55.36999455,55.36999455,0.05536999455,Argentina,7380.115031
ARG,1990,PIG,KG_CAP,3.66126531,3.66126531,0.00366126531,Argentina,7380.115031
ARG,1990,SHEEP,THND_TONNE,1e-04,0.1,1e-04,Argentina,7380.115031
ARG,1990,SHEEP,KG_CAP,2.69e-06,2.69e-06,2.69e-09,Argentina,7380.115031
ARG,1990,PIG,THND_TONNE,153.6311,153631.1,153.6311,Argentina,7380.115031
ARG,1990,POULTRY,THND_TONNE,321.0001,321000.1,321.0001,Argentina,7380.115031
ARG,1990,POULTRY,KG_CAP,8.630685628,8.630685628,0.008630685628,Argentina,7380.115031
ARG,1991,POULTRY,THND_TONNE,333.8001,333800.1,333.8001,Argentina,8210.643432
ARG,1991,PIG,KG_CAP,3.599022508,3.599022508,0.003599022508,Argentina,8210.643432
ARG,1991,BEEF,KG_CAP,51.6379829,51.6379829,0.0516379829,Argentina,8210.643432
ARG,1991,POULTRY,KG_CAP,8.849334628,8.849334628,0.008849334628,Argentina,8210.643432
ARG,1991,BEEF,THND_TONNE,2448.6671,2448667.1,2448.6671,Argentina,8210.643432
ARG,1991,SHEEP,THND_TONNE,88.23094503,88230.94503,88.23094503,Argentina,8210.643432
ARG,1991,SHEEP,KG_CAP,2.339080058,2.339080058,0.002339080058,Argentina,8210.643432
ARG,1991,PIG,THND_TONNE,153.1611,153161.1,153.1611,Argentina,8210.643432
ARG,1992,POULTRY,THND_TONNE,382.0401,382040.1,382.0401,Argentina,8942.569853
ARG,1992,SHEEP,KG_CAP,1.886698335,1.886698335,0.001886698335,Argentina,8942.569853
ARG,1992,PIG,KG_CAP,4.46986549,4.46986549,0.00446986549,Argentina,8942.569853
ARG,1992,BEEF,THND_TONNE,2441.8821,2441882.1,2441.8821,Argentina,8942.569853
ARG,1992,SHEEP,THND_TONNE,72.15581519,72155.81519,72.15581519,Argentina,8942.569853
ARG,1992,BEEF,KG_CAP,50.78917845,50.78917845,0.05078917845,Argentina,8942.569853
ARG,1992,PIG,THND_TONNE,192.8641,192864.1,192.8641,Argentina,8942.569853
ARG,1992,POULTRY,KG_CAP,9.989415528,9.989415528,0.009989415528,Argentina,8942.569853
ARG,1993,SHEEP,KG_CAP,1.860910697,1.860910697,0.001860910697,Argentina,9777.214005
ARG,1993,PIG,THND_TONNE,211.2571,211257.1,211.2571,Argentina,9777.214005
ARG,1993,BEEF,THND_TONNE,2507.8671,2507867.1,2507.8671,Argentina,9777.214005
ARG,1993,POULTRY,THND_TONNE,596.1001,596100.1,596.1001,Argentina,9777.214005
ARG,1993,BEEF,KG_CAP,51.46466658,51.46466658,0.05146466658,Argentina,9777.214005
ARG,1993,POULTRY,KG_CAP,15.37830507,15.37830507,0.01537830507,Argentina,9777.214005
ARG,1993,SHEEP,THND_TONNE,72.13337539,72133.37539,72.13337539,Argentina,9777.214005
ARG,1993,PIG,KG_CAP,4.830727301,4.830727301,0.004830727301,Argentina,9777.214005
ARG,1994,SHEEP,THND_TONNE,92.80664568,92806.64568,92.80664568,Argentina,10435.91077
ARG,1994,POULTRY,KG_CAP,18.30912618,18.30912618,0.01830912618,Argentina,10435.91077
ARG,1994,BEEF,KG_CAP,48.37523314,48.37523314,0.04837523314,Argentina,10435.91077
ARG,1994,PIG,KG_CAP,4.814914182,4.814914182,0.004814914182,Argentina,10435.91077
ARG,1994,SHEEP,KG_CAP,2.363261081,2.363261081,0.002363261081,Argentina,10435.91077
ARG,1994,POULTRY,THND_TONNE,719.0101,719010.1,719.0101,Argentina,10435.91077
ARG,1994,BEEF,THND_TONNE,2388.2241,2388224.1,2388.2241,Argentina,10435.91077
ARG,1994,PIG,THND_TONNE,213.3261,213326.1,213.3261,Argentina,10435.91077
ARG,1995,POULTRY,KG_CAP,18.57314309,18.57314309,0.01857314309,Argentina,10225.11871
ARG,1995,BEEF,KG_CAP,43.48520526,43.48520526,0.04348520526,Argentina,10225.11871
ARG,1995,PIG,KG_CAP,5.061726518,5.061726518,0.005061726518,Argentina,10225.11871
ARG,1995,SHEEP,KG_CAP,2.222375837,2.222375837,0.002222375837,Argentina,10225.11871
ARG,1995,BEEF,THND_TONNE,2173.9381,2173938.1,2173.9381,Argentina,10225.11871
ARG,1995,POULTRY,THND_TONNE,738.5951,738595.1,738.5951,Argentina,10225.11871
ARG,1995,PIG,THND_TONNE,227.0951,227095.1,227.0951,Argentina,10225.11871
ARG,1995,SHEEP,THND_TONNE,88.37685121,88376.85121,88.37685121,Argentina,10225.11871
